venue,innings,batting_team,bowling_team,batsmen,bowlers,ttr_inn
5,2,4,2,5.278696453,4.871374422,44
5,2,4,2,7.99802774,9.171222766,48
8,1,7,5,5.216912405,7.202105348,50
8,1,7,5,5.100659978,7.590530832,42
8,2,5,7,10.89698071,7.578429094,37
8,2,5,7,7.825203785,11.9873651,57
0,1,1,3,13.33071576,7.323402437,26
0,1,1,3,5.436596725,12.26758386,43
0,2,3,1,7.763630941,10.42523913,52
0,2,3,1,10.54984224,7.747108861,41
7,1,2,6,13.23106756,7.172397644,34
7,1,2,6,8.140722158,9.479206477,43
7,2,6,2,7.881262615,7.467971518,50
7,2,6,2,7.949700197,10.15991091,44
8,1,4,7,10.72066166,7.557135884,48
8,1,4,7,13.21022773,9.89610409,37
8,2,7,4,5.216912405,7.485171824,34
8,2,7,4,13.27871301,10.08312225,39
2,1,5,2,10.89698071,5.154104298,50
2,1,5,2,5.454250155,7.473019578,50
2,2,2,5,5.096047517,9.753555346,58
2,2,2,5,13.2175053,9.261852989,49
3,1,0,1,10.4355938,10.44363043,41
3,1,0,1,12.75842556,10.36972622,48
3,2,1,0,9.835635405,9.837843967,35
3,2,1,0,7.98978599,12.23692909,45
5,1,6,4,5.364066717,7.509305504,50
5,1,6,4,7.881262615,10.29346641,37
5,2,4,6,5.36963881,9.767893865,50
5,2,4,6,5.36963881,9.538739388,51
7,1,2,3,10.51167515,7.619947424,53
7,1,2,3,8.140722158,7.55056279,56
7,2,3,2,10.33997229,5.154104298,35
7,2,3,2,5.13831849,9.299094381,60
6,1,0,6,7.639512885,9.568596991,43
6,1,0,6,7.751646674,12.16846096,40
6,2,6,0,13.22556645,7.43301025,55
6,2,6,0,7.913935597,9.796020006,40
5,1,5,4,5.440279213,7.585026218,47
5,1,5,4,10.90278798,10.12674036,34
5,2,4,5,10.67773346,7.409005616,21
5,2,4,5,8.079659228,10.08179503,78
1,1,1,3,12.8458133,7.783331677,50
1,1,1,3,7.98978599,7.624256037,30
1,2,3,1,5.33711968,7.830846577,41
1,2,3,1,7.939179671,7.754829005,60
3,1,0,5,4.957367808,7.401372828,35
3,1,0,5,7.930682314,9.820379639,44
3,2,5,0,16.26652124,7.0548143,37
3,2,5,0,10.56897535,10.14638356,37
4,1,2,7,10.51167515,7.578429094,28
4,1,2,7,10.1371557,9.835239181,38
4,2,7,2,5.362363706,5.154104298,78
4,2,7,2,8.088275338,7.596871219,42
2,1,5,6,8.170253499,6.626266439,48
2,1,5,6,5.454250155,6.486249072,51
2,2,6,5,7.80181728,7.209738136,71
2,2,6,5,7.90546588,7.668927645,42
4,1,0,7,12.73648891,7.578429094,27
4,1,0,7,12.97696705,11.58668851,26
4,2,7,0,10.46302368,7.012865896,68
5,1,4,1,5.278696453,7.821013074,50
5,1,4,1,5.278696453,11.75570903,52
5,2,1,4,12.85176846,4.899711095,23
5,2,1,4,10.17752307,10.33839476,33
2,1,5,3,5.440279213,7.619947424,64
2,1,5,3,15.77964405,10.00995528,54
2,2,3,5,13.35070342,9.863372354,73
2,2,3,5,5.29841638,5.046713622,21
6,1,7,6,7.737112052,9.34920185,57
6,1,7,6,10.45913735,4.887752293,34
6,2,6,7,12.88303305,9.834640061,32
6,2,6,7,7.628728242,8.882625251,44
3,1,0,2,10.26577781,4.871374422,35
3,1,0,2,5.166992231,7.768586678,50
3,2,2,0,5.282685542,9.605042653,43
3,2,2,0,5.282685542,5.14240511,12
0,1,1,5,7.896408942,7.401372828,41
0,1,1,5,10.50562189,12.45153325,36
0,2,5,1,5.440279213,10.42523913,67
0,2,5,1,10.84370003,10.05673903,47
3,1,0,4,7.666987308,7.509305504,28
3,1,0,4,7.930682314,12.90306082,43
3,2,4,0,10.33578413,9.983238603,42
3,2,4,0,8.027425939,9.782767274,55
4,1,3,7,7.939179671,6.886671737,43
4,1,3,7,5.31386722,8.732403797,58
4,2,7,3,8.071633667,7.619947424,64
4,2,7,3,8.067747337,10.15694416,40
7,1,1,2,10.74305607,4.871374422,23
7,1,1,2,10.55088737,7.729496785,29
7,2,2,1,5.282685542,10.35133491,44
7,2,2,1,10.73856234,10.05462567,25
1,1,6,3,5.364066717,7.472958547,42
1,1,6,3,8.092420499,7.248027439,46
1,2,3,6,5.405534178,9.55621301,74
1,2,3,6,8.120701536,9.73975669,42
2,1,7,5,5.362363706,9.397709838,60
2,1,7,5,8.071633667,9.620250139,45
2,2,5,7,10.86310042,9.190604339,56
2,2,5,7,10.82132543,9.161542476,43
7,1,4,2,5.278696453,7.467971518,67
7,1,4,2,7.783846432,10.31512934,70
7,2,2,4,8.013467818,9.906856928,65
7,2,2,4,8.11320099,12.17986923,66
6,1,6,1,5.364066717,7.736437699,37
6,1,6,1,8.092420499,15.0653919,70
6,2,1,6,7.723631653,9.511486264,43
6,2,1,6,10.57476765,10.87739004,41
3,1,3,0,8.030846629,7.189138356,47
3,1,3,0,5.405534178,10.08399509,57
3,2,0,3,10.52947282,7.618442069,51
3,2,0,3,10.68556761,10.15095379,34
5,1,7,4,5.362363706,9.938959537,29
5,1,7,4,8.010723717,10.15845438,46
5,2,4,7,10.57550412,7.30750083,36
5,2,4,7,10.43754284,11.90772621,42
6,1,6,2,10.54964853,4.871374422,26
6,1,6,2,7.801531866,10.32609388,39
6,2,2,6,8.013467818,7.14037126,44
6,2,2,6,8.17271452,8.990185999,45
0,1,1,7,7.709786871,7.30750083,36
0,1,1,7,7.965146157,9.81745713,39
0,2,7,1,5.362363706,10.36972622,38
0,2,7,1,8.088275338,10.06445917,58
1,1,3,4,5.33711968,7.629565978,51
1,1,3,4,5.33711968,9.621990341,64
1,2,4,3,9.508123919,7.624432433,38
1,2,4,3,7.943024472,10.08364853,61
4,1,4,5,5.278696453,7.202105348,58
4,1,4,5,12.92124486,7.530345028,55
4,2,5,4,13.53979403,7.509305504,28
4,2,5,4,10.63665826,7.728800348,47
4,1,3,2,10.41771977,10.04889649,55
4,1,3,2,7.460558389,7.768586678,28
4,2,2,3,7.977819697,10.07933991,35
4,2,2,3,5.447619999,10.00995528,45
8,1,2,4,7.977819697,10.07397157,42
8,1,2,4,8.11320099,7.715974612,45
8,2,4,2,7.634598171,4.871374422,41
8,2,4,2,7.947115188,7.768586678,47
9,1,1,4,13.41299806,7.28718567,29
9,1,1,4,10.53541344,11.61646148,34
9,2,4,1,9.858936961,7.831907126,14
9,2,4,1,17.40233653,7.512330788,34
9,1,7,2,5.440091651,9.581911668,83
9,1,7,2,10.74757432,9.313066356,64
9,2,2,7,10.54243689,7.849899931,40
9,2,2,7,7.81991141,7.298294026,44
9,1,3,5,15.99585964,9.731211618,104
9,2,5,3,5.440279213,12.36946012,58
9,2,5,3,15.87624839,9.543943029,41
9,1,0,6,7.696362506,7.413933271,41
9,1,0,6,15.40406528,10.01162846,50
9,2,6,0,10.68348511,5.197481804,37
9,2,6,0,5.388269982,10.01823024,55
10,1,2,1,5.391698864,10.42629968,68
10,1,2,1,10.84757566,9.803569649,42
10,2,1,2,10.71870776,7.745168905,46
10,2,1,2,18.27454024,9.72072286,26
11,1,3,0,7.890608949,7.752576252,46
11,1,3,0,10.72316191,9.90052433,48
11,2,0,3,8.129158891,7.284280182,60
11,2,0,3,5.411488388,7.284768112,19
9,1,6,1,7.955131324,7.813515819,62
9,1,6,1,8.023568906,7.164364754,45
9,2,1,6,10.74778038,7.295969763,31
9,2,1,6,10.82996131,7.413933271,44
11,1,5,2,10.84370003,9.869020546,59
11,1,5,2,8.125231434,9.726255349,46
11,2,2,5,8.12248114,9.913112647,61
11,2,2,5,10.55069369,9.371085521,63
9,1,4,0,10.48598085,7.634099895,54
9,1,4,0,10.5109255,7.252825662,31
9,2,0,4,8.06846105,4.962606073,38
9,2,0,4,13.09528066,10.01975954,41
11,1,1,3,13.45278834,6.484730787,49
11,1,1,3,8.087143921,5.163358195,38
11,2,3,1,5.214830607,10.26455339,44
11,2,3,1,7.908557556,9.758757304,47
11,1,6,7,8.073336678,10.25928199,109
11,1,6,7,18.37088053,12.86475635,48
11,2,7,6,8.063931691,7.295969763,50
11,2,7,6,8.141659636,9.928691835,41
10,1,1,5,10.77550055,7.665139381,45
10,1,1,5,10.69035062,7.696108254,36
10,2,5,1,10.84370003,7.649656176,43
10,2,5,1,5.403420819,4.874278829,36
9,1,3,4,8.047383564,9.851851734,38
9,1,3,4,10.78102904,10.10594569,33
9,2,4,3,15.62218801,9.886507178,32
9,2,4,3,10.55298206,7.544572426,34
11,1,2,6,8.12248114,9.698848135,62
11,1,2,6,8.130737937,9.611373887,38
11,2,6,2,7.955131324,12.87263654,69
11,2,6,2,7.979334589,9.945046229,39
10,1,7,0,5.362363706,7.60231552,55
10,1,7,0,5.362363706,12.0497606,67
10,2,0,7,10.81130397,10.47314922,47
10,2,0,7,7.735308065,9.512673475,33
12,1,5,4,10.84370003,7.28718567,42
12,1,5,4,7.968365818,10.15932772,40
12,2,4,5,10.39503849,7.665139381,33
12,2,4,5,13.27685141,7.576784542,34
11,1,0,1,8.129158891,12.31333224,45
11,1,0,1,10.64985353,12.20731221,28
11,2,1,0,5.306459341,10.21870157,46
11,2,1,0,7.973912294,12.42933279,30
11,1,3,7,10.78102904,9.462581501,59
11,1,3,7,12.83006368,12.98902307,41
11,2,7,3,13.48143494,9.74367267,23
11,2,7,3,8.037456957,11.65436343,35
12,1,2,4,10.8073265,4.962606073,40
12,1,2,4,7.894194133,10.04055421,46
12,2,4,2,10.46828782,7.335647023,38
12,2,4,2,7.908922653,7.718532246,43
12,1,6,5,10.51314151,7.696108254,76
12,1,6,5,8.025038848,12.70237315,63
12,2,5,6,10.84370003,6.997714821,41
12,2,5,6,8.122780094,9.740776121,44
13,1,7,0,10.66586215,10.20187197,40
13,1,7,0,10.18061929,9.846850375,33
13,2,0,7,10.63396294,9.443037547,26
13,2,0,7,5.224276606,11.61550344,51
11,1,1,3,10.12017373,7.284280182,38
11,1,1,3,8.032370973,9.982586165,42
11,2,3,1,5.291508708,7.571017602,35
11,2,3,1,10.56729902,9.689325005,45
14,1,2,5,8.119973176,7.665139381,53
14,1,2,5,5.415627637,7.576784542,53
14,2,5,2,10.85686148,4.94295007,49
14,2,5,2,8.127669015,12.67825557,37
10,1,6,4,7.792201511,9.768806133,39
10,1,6,4,8.079887269,9.757162151,31
10,2,4,6,13.12276835,7.315032769,30
10,2,4,6,10.2808088,7.415474235,56
10,1,0,3,8.08376271,7.48142153,67
10,1,0,3,7.906421682,14.90703086,50
10,2,3,0,10.58704392,10.24739724,51
10,2,3,0,7.993587109,12.31547809,43
14,1,7,1,13.47491632,7.072612627,24
14,1,7,1,5.339775302,9.608318362,42
14,2,1,7,7.955388691,10.21911579,51
14,2,1,7,5.436874751,9.522126448,37
13,1,2,6,5.3891909,10.08363388,52
13,1,2,6,8.114285422,11.97377223,46
13,2,6,2,13.39275507,7.534014677,52
13,2,6,2,13.24194335,7.694494005,44
11,1,4,3,5.340503603,9.978277551,57
11,1,4,3,5.340503603,12.07949618,56
11,2,3,4,13.16338527,9.638733908,29
11,2,3,4,8.087302088,9.724574784,45
11,1,0,5,7.941947109,10.36564012,82
11,1,0,5,7.887977531,12.87618513,57
11,2,5,0,5.453440659,10.10860211,57
11,2,5,0,8.130134269,7.469735296,34
12,1,6,7,10.73980347,10.46130899,37
12,1,6,7,8.14177426,9.919470308,43
12,2,7,6,10.53227902,10.14162582,41
12,2,7,6,7.857444277,9.459608799,46
12,1,1,4,10.61166256,8.363447707,59
12,1,1,4,12.49645275,12.05652947,33
12,2,4,1,7.787661635,7.072612627,31
12,2,4,1,7.856685398,14.67653392,45
12,1,2,3,8.130737937,9.541925434,100
12,1,2,3,8.065536653,10.24422952,84
12,2,3,2,7.773301929,10.08138225,53
12,2,3,2,10.56992846,7.739015949,63
13,1,7,5,10.19809602,7.665139381,30
13,1,7,5,7.804236303,7.762495747,21
13,2,5,7,5.453440659,5.216883413,35
13,2,5,7,10.85686148,7.760299416,25
15,1,4,2,7.968892533,9.92671163,34
15,1,4,2,7.985414236,7.694494005,40
15,2,2,4,8.119973176,9.638733908,37
15,2,2,4,5.359706502,7.715974612,40
15,1,6,3,13.37055685,9.836200781,74
15,1,6,3,5.334903897,12.43635113,76
15,2,3,6,10.60585489,12.15013129,45
15,2,3,6,10.78102904,14.54680053,62
14,1,0,5,12.99330804,7.665139381,37
14,1,0,5,12.96999403,5.025334544,21
14,2,5,0,5.453440659,11.78265705,47
14,2,5,0,13.57867209,10.27410893,36
10,1,7,1,8.085819378,7.651221203,46
10,1,7,1,8.077269998,7.327597169,36
10,2,1,7,10.83963636,7.838059695,39
10,2,1,7,13.26193173,7.132344234,36
15,1,6,4,8.079887269,10.32090466,42
15,1,6,4,10.54818652,5.183895915,44
15,2,4,6,10.41605056,7.48244525,30
15,2,4,6,10.74463408,7.597264538,49
12,1,3,7,13.28163323,7.838059695,51
12,1,3,7,10.38835618,9.999077594,29
12,2,7,3,10.77334834,10.32863879,42
12,2,7,3,5.397646326,9.805575324,57
12,1,0,1,5.398006016,12.14002938,81
12,1,0,1,8.047340875,7.209177099,54
12,2,1,0,5.354415795,12.48977194,46
12,2,1,0,13.45650823,7.462014301,35
11,1,5,6,8.130134269,9.678344902,52
11,1,5,6,10.84370003,9.793164191,38
11,2,6,5,10.69583732,7.665139381,50
11,2,6,5,7.986618549,10.16561627,50
11,1,4,7,10.55923018,9.648218078,84
11,1,4,7,7.660883077,12.97718283,54
11,2,7,4,13.3380144,10.29346641,26
11,2,7,4,8.063931691,10.22785797,38
11,1,2,1,5.399955662,10.19831384,89
11,1,2,1,15.49846145,12.52844868,29
11,2,1,2,13.54464432,7.534014677,33
11,2,1,2,5.402761608,7.744548437,33
16,1,5,3,10.84370003,10.32863879,38
16,1,5,3,10.76071518,5.012060704,29
16,2,3,5,13.20791488,7.612476267,37
16,2,3,5,5.408894307,15.12687275,28
10,1,7,2,8.041343287,4.94295007,49
10,1,7,2,8.060045361,7.694494005,30
10,2,2,7,10.8073265,7.838059695,35
10,2,2,7,8.084801023,9.631100809,37
14,1,0,6,8.08376271,7.622804345,31
14,1,0,6,5.366092207,7.578201532,36
14,2,6,0,5.364066717,9.427901976,50
14,2,6,0,8.011449687,12.52064455,35
16,1,5,4,10.84370003,7.642959472,35
16,1,5,4,5.403420819,5.07773118,36
16,2,4,5,10.44559121,9.819544546,24
16,2,4,5,8.019127885,9.731189707,55
14,1,3,6,13.20791488,7.622804345,39
14,1,3,6,7.812014828,9.648470345,29
14,2,6,3,10.67796767,10.16374919,46
14,2,6,3,5.326434181,10.1680578,28
12,1,2,0,5.36324145,12.54047855,54
12,1,2,0,8.102280523,9.713416009,43
12,2,0,2,8.08376271,7.523875046,56
12,2,0,2,5.401617634,7.694494005,49
14,1,5,1,10.80249017,7.518919934,37
14,1,5,1,10.54124093,9.895160153,36
14,2,1,5,8.141882711,7.308999536,27
14,2,1,5,5.415971078,9.445515588,44
11,1,4,0,15.64406317,9.736477071,46
11,1,4,0,12.57331594,11.53736364,17
11,2,0,4,13.13331408,5.057498743,29
11,2,0,4,12.44571637,7.655222979,19
11,1,2,3,13.33612638,5.012060704,79
11,1,2,3,10.30638732,12.44258215,30
11,2,3,2,7.79902057,9.965394109,29
11,2,3,2,10.59301766,9.95442957,19
12,1,1,6,7.965148528,7.622804345,33
12,1,1,6,7.959193369,9.537151137,57
12,2,6,1,5.364066717,10.2004272,64
12,2,6,1,10.67796767,9.707307783,34
12,1,7,5,5.433573037,10.27304076,85
12,1,7,5,10.55028038,10.01046901,57
12,2,5,7,8.169444003,6.296064659,60
12,2,5,7,8.116972823,10.02443884,54
12,1,5,6,8.119424162,7.578201532,86
12,1,5,6,8.125231434,10.12350865,49
12,2,6,5,7.792201511,12.35829451,84
12,2,6,5,10.44618626,10.13902393,37
14,1,2,1,5.391698864,10.35989272,52
14,1,2,1,10.84757566,10.19831384,32
14,2,1,2,10.67015649,7.721130664,59
14,2,1,2,5.425167263,10.28555861,35
14,1,6,1,8.054787963,12.81321106,69
14,1,6,1,10.48479069,10.21881851,54
14,2,1,6,7.965148528,7.622804345,36
14,2,1,6,10.64179567,10.01436418,44
8,1,0,6,15.96593816,7.214002621,38
8,1,0,6,5.285822755,9.901850212,33
8,2,6,0,5.295215124,9.847741317,62
8,2,6,0,8.030584697,9.697882521,40
1,1,3,5,10.70348177,7.519876905,44
1,1,3,5,8.010623987,7.623913129,47
1,2,5,3,10.84370003,5.159049581,39
1,2,5,3,8.172813694,7.523193677,40
17,1,7,4,7.974087014,9.156355281,69
17,1,7,4,10.72406765,4.963787827,52
17,2,4,7,7.919142813,10.05997256,39
17,2,4,7,10.45070514,9.736050981,76
7,1,6,2,10.6216493,10.1440111,57
7,1,6,2,5.326434181,9.689752729,42
7,2,2,6,15.78518556,10.0255534,34
7,2,2,6,7.645948017,11.88096241,49
3,1,1,0,10.75820741,9.947161709,24
3,1,1,0,8.094489457,9.864670134,49
3,2,0,1,5.37679405,10.35133491,61
3,2,0,1,8.058939126,7.595363488,43
18,1,4,5,10.68822382,7.59064093,47
18,1,4,5,7.731373853,7.44782187,26
18,2,5,4,10.84370003,7.458305392,59
18,2,5,4,8.164541168,9.505067455,54
0,1,3,1,5.294587459,7.813515819,50
0,1,3,1,5.294587459,7.557143132,54
0,2,1,3,5.431122422,7.518885064,55
0,2,1,3,8.157034055,7.523193677,59
3,1,2,0,8.119973176,9.863005407,31
3,1,2,0,10.85505192,9.900745499,37
3,2,0,2,13.39526475,7.745168905,45
3,2,0,2,12.13528517,9.689752729,34
2,1,7,5,7.974087014,9.794034754,66
2,1,7,5,10.72406765,9.905703767,58
2,2,5,7,8.119424162,10.43648724,56
2,2,5,7,15.52963026,10.24598622,56
0,1,4,1,7.489198713,10.42629968,31
0,1,4,1,10.09697313,10.34922156,31
0,2,1,4,5.431122422,7.736625686,59
0,2,1,4,5.431122422,7.402171934,34
2,1,5,2,8.121861743,10.23267939,52
2,1,5,2,8.114507568,9.695285218,52
2,2,2,5,8.076544226,10.26992006,56
2,2,2,5,8.090488778,12.7847096,73
19,1,6,3,10.6216493,10.21790058,56
19,1,6,3,13.11210406,12.79369949,57
19,2,3,6,13.39983815,7.48244525,27
19,2,3,6,10.35697696,7.520209585,42
18,1,4,0,10.42449313,10.01427308,56
18,1,4,0,7.988166577,7.380272364,47
18,2,0,4,7.997970332,10.21049218,38
18,2,0,4,7.987268489,9.733007952,42
17,1,7,1,10.65532825,10.42629968,45
17,1,7,1,16.10720672,7.744995502,35
17,2,1,7,5.431122422,10.43648724,55
17,2,1,7,8.157034055,7.65939892,45
19,1,6,5,10.61150967,9.556135995,47
19,1,6,5,8.054787963,12.10810975,48
19,2,5,6,8.171895342,10.0255534,48
19,2,5,6,8.177702614,10.22332137,50
7,1,3,2,8.007994548,10.36530496,38
7,1,3,2,13.36648977,10.38872273,40
7,2,2,3,5.391698864,9.858277604,42
7,2,2,3,8.12248114,15.0216358,53
17,1,0,7,5.409686333,10.31379292,41
17,1,0,7,8.04617423,7.708318561,33
17,2,7,0,5.440091651,7.381453933,57
17,2,7,0,8.121332888,7.603497643,39
0,1,1,2,8.136130382,7.534014677,38
0,1,1,2,10.88266766,10.11493965,48
0,2,2,1,8.03810259,10.35133491,29
0,2,2,1,13.45122226,7.744995502,45
1,1,4,3,7.845853923,7.593618485,53
1,1,4,3,7.87498913,7.416785847,47
1,2,3,4,7.988314408,7.626213202,76
1,2,3,4,10.70611121,9.745833687,36
17,1,2,7,10.8073265,10.32004187,51
17,1,2,7,5.415627637,10.47314922,50
17,2,7,2,5.440091651,7.612543339,62
17,2,7,2,10.71016461,7.744548437,44
0,1,5,1,10.89370596,10.42629968,64
0,1,5,1,8.122479823,10.34922156,39
0,2,1,5,5.431122422,7.681088339,46
0,2,1,5,13.54056039,7.489634366,48
18,1,6,4,10.6216493,9.463660706,55
18,1,6,4,10.70217093,7.715974612,43
18,2,4,6,5.282372837,9.971636424,54
18,2,4,6,10.56518521,10.02182553,57
1,1,0,3,10.79449836,9.904320721,50
1,1,0,3,5.374991996,9.719337016,51
1,2,3,0,10.70348177,9.918553997,42
1,2,3,0,8.04618154,12.57991716,41
18,1,4,2,7.845853923,7.384347947,58
18,1,4,2,7.973008452,10.11937564,53
18,2,2,4,8.119973176,7.290577697,58
18,2,2,4,10.85505192,7.715974612,33
8,1,7,6,8.127620612,9.446723251,52
8,1,7,6,13.38870503,7.681742124,40
8,2,6,7,10.61150967,10.31586593,50
8,2,6,7,8.044122669,12.91190621,41
2,1,5,0,13.46062853,9.788642435,62
2,1,5,0,5.298538699,10.09964312,43
2,2,0,5,13.47483387,7.448729379,36
2,2,0,5,8.057211629,7.830139079,37
17,1,3,7,10.70275108,10.31586593,48
17,1,3,7,10.79910932,10.44801322,46
17,2,7,3,8.15859334,12.52860282,44
17,2,7,3,10.85070296,11.98805949,48
7,1,1,2,8.157034055,7.360930174,52
7,1,1,2,8.168463516,6.324042601,42
7,2,2,1,5.3891909,10.35133491,56
7,2,2,1,10.8450677,12.61403938,51
2,1,5,4,13.41275991,9.307611036,52
2,1,5,4,8.120028483,7.715974612,39
2,2,4,5,15.69527442,10.0151596,39
2,2,4,5,12.66657063,9.831435548,46
3,1,0,6,8.030862615,9.236237154,46
3,1,0,6,10.67650379,12.04778793,40
3,2,6,0,7.944991693,9.052929074,59
3,2,6,0,7.907359156,9.316796745,40
1,1,3,1,8.06163238,10.42629968,41
1,1,3,1,7.988314408,12.61615274,45
1,2,1,3,8.098575375,10.15682633,51
1,2,1,3,8.119201021,10.24103127,46
17,1,7,6,5.440091651,9.681379894,51
17,1,7,6,13.52984759,10.06178883,32
17,2,6,7,10.6216493,10.47314922,40
17,2,6,7,10.62317971,10.28337988,43
7,1,2,4,8.119973176,12.08201569,66
7,1,2,4,8.110693026,12.37527022,47
7,2,4,2,5.282372837,7.438494408,62
7,2,4,2,10.72433805,7.744548437,62
3,1,0,3,5.409686333,9.858277604,53
3,1,0,3,8.102533253,7.426097264,36
3,2,3,0,8.04618154,9.938420479,69
3,2,3,0,5.390083338,10.09964312,68
2,1,5,1,10.73881791,10.1890403,54
2,1,5,1,10.69429131,11.79418704,57
2,2,1,5,8.043058047,7.602540153,38
2,2,1,5,8.104327704,7.662725957,40
20,1,4,6,10.56848785,12.63017654,48
20,1,4,6,8.005446295,12.62797757,53
20,2,6,4,10.69008689,9.901085449,52
20,2,6,4,7.804804886,9.878133524,49
7,1,2,7,8.119973176,7.704142621,42
7,1,2,7,8.130737937,12.7466923,58
7,2,7,2,5.440091651,7.462033367,46
7,2,7,2,13.518375,12.28688394,37
5,1,3,4,8.04618154,7.307799382,52
5,1,3,4,10.78102904,9.849513521,57
5,2,4,3,5.282372837,9.994277647,70
5,2,4,3,8.001704124,10.04437785,62
3,1,0,5,5.409686333,10.15399015,50
3,1,0,5,10.82020376,9.854063913,54
3,2,5,0,8.169444003,10.03103945,44
3,2,5,0,10.73146374,12.42971286,64
0,1,1,6,8.136130382,10.05491948,46
0,1,1,6,13.54464432,7.5105582,31
0,2,6,1,7.932458463,10.35133491,32
0,2,6,1,10.74640525,10.34922156,65
1,1,7,3,8.161077395,9.797159876,51
1,1,7,3,10.68175831,7.622750682,36
1,2,3,7,7.736436312,10.31586593,56
1,2,3,7,7.755247281,12.50254116,43
0,1,0,1,8.127356836,7.813515819,61
0,1,0,1,5.399815579,9.583844593,42
0,2,1,0,7.744350682,7.747710157,47
0,2,1,0,7.759299195,10.03103945,36
20,1,2,6,8.119973176,12.57778847,55
20,1,2,6,10.86917656,7.578201532,28
20,2,6,2,10.66081224,7.682706759,37
20,2,6,2,8.042254733,9.940530961,37
5,1,7,4,13.46615867,9.460087726,47
5,1,7,4,5.41168535,7.715974612,44
5,2,4,7,13.14712706,7.828606721,33
